country,countrycode,year,marriage_rate,divorce_rate,gdp_gr,gdp_pc,population
Mexico,MEX,1992,7.4000001,.60000002,3.569,10262.211,86044806
Italy,ITA,1992,5.5,.5,.83399999,26960.611,57124993
Spain,ESP,1992,5.5999999,.69999999,.85100001,20329.168,39420344
South Korea,KOR,1992,9.6000004,1.2,6.3520002,15712.002,44653699
Poland,POL,1992,5.6999998,.80000001,2.033,7873.9248,38233636
Croatia,HRV,1992,4.8000002,.80000001,,9331.8926,4782235
Romania,ROU,1992,7.6999998,1.3,-8.7659998,4818.3042,22912389
Portugal,PRT,1992,7,1.2,3.1300001,18598.527,9960345
Bulgaria,BGR,1992,5.1999998,1.1,-8.4259996,7846.1157,8559091
Slovenia,SVN,1992,4.5999999,1,,15462.71,1995862
Israel,ISR,1992,6.4000001,1.4,7.1550002,21531.596,4957240
Slovakia,SVK,1992,6.4000001,1.5,,9838.6152,5306445
Japan,JPN,1992,6.0999999,1.5,.90100002,30977.814,124383707
Germany,DEU,1992,5.5999999,1.7,2.017,27385.055,80934901
Switzerland,CHE,1992,6.5999999,2.0999999,-.13699999,34356.801,6875049
Netherlands,NLD,1992,6.1999998,2,1.589,28555.732,15276787
Austria,AUT,1992,5.8000002,2.0999999,2.0940001,28072.439,7842715
Hungary,HUN,1992,5.5,2.0999999,-3.0639999,9153.9209,10371477
Czechia,CZE,1992,7.1999998,2.8,,12810.432,10312449
Australia,AUS,1992,6.5999999,2.5999999,2.602,27560.178,17549286
Denmark,DNK,1992,6.1999998,2.5,2.0239999,30573.574,5171372
United Kingdom,GBR,1992,6.1999998,2.8,.27599999,25790.186,57719273
New Zealand,NZL,1992,5.9000001,2.7,.71499997,21093.061,3532246
Lithuania,LTU,1992,8.1000004,3.8,,10240.939,3697552
Canada,CAN,1992,5.8000002,2.8,.88999999,29141.191,28500066
Norway,NOR,1992,4.5,2.4000001,3.5639999,33041.207,4286255
United States,USA,1992,9,4.8000002,3.5220001,37240.301,259606021
Finland,FIN,1992,4.6999998,2.5999999,-3.312,24219.76,5042145
Sweden,SWE,1992,4.3000002,2.5,-1.0599999,27198.529,8667576
Estonia,EST,1992,5.8000002,4.3000002,,13214.388,1540214
Thailand,THA,1992,,,9.2299995,8409.0205,56528832
Taiwan,TWN,1992,,,8.3109999,18101.332,20982088
Kenya,KEN,1992,,,-1.08,1724.8744,24382466
Philippines,PHL,1992,,,.41800001,3399.2427,65926130
Vietnam,VNM,1992,,,8.6999998,1792.6708,68260336
Ukraine,UKR,1992,,,-9.8999996,8130.2769,52323675
Brazil,BRA,1992,,,-.46700001,7812.7944,154275077
